,day,price
0,1,10.48
1,2,10.48
2,3,10.48
3,4,10.48
4,5,10.48
5,6,10.48
6,7,10.48
7,8,10.48
8,9,10.48
9,10,10.48
10,11,10.48
11,12,10.48
12,13,10.48
13,14,10.48
14,15,10.48
15,16,10.48
16,17,10.48
17,18,10.48
18,19,10.48
19,20,10.48
20,21,10.48
21,22,10.48
22,23,10.48
23,24,10.48
24,25,10.48
25,26,10.48
26,27,10.48
27,28,10.48
28,29,10.48
29,30,10.48
30,31,10.48
31,32,10.48
32,33,10.48
33,34,10.48
34,35,10.48
35,36,10.48
36,37,10.48
37,38,10.48
38,39,10.48
39,40,10.48
40,41,10.48
41,42,10.48
42,43,10.48
43,44,10.48
44,45,10.48
45,46,10.48
46,47,10.48
47,48,10.48
48,49,10.48
49,50,10.48
50,51,10.48
51,52,10.48
52,53,10.48
53,54,10.48
54,55,10.48
55,56,10.48
56,57,10.48
57,58,10.48
58,59,10.48
59,60,10.48
60,61,10.48
61,62,10.48
62,63,10.48
63,64,10.48
64,65,10.48
65,66,10.48
66,67,10.48
67,68,10.48
68,69,10.48
69,70,10.48
70,71,10.48
71,72,10.48
72,73,10.48
73,74,10.48
74,75,10.48
75,76,10.48
76,77,10.48
77,78,10.48
78,79,10.48
79,80,10.48
80,81,10.48
81,82,10.48
82,83,10.48
83,84,10.48
84,85,10.48
85,86,10.48
86,87,10.48
87,88,10.48
88,89,10.48
89,90,10.48
90,91,10.48
91,92,10.48
92,93,10.48
93,94,10.48
94,95,10.48
95,96,10.48
96,97,10.48
97,98,10.48
98,99,10.48
99,100,10.48
100,101,10.48
101,102,10.48
102,103,10.48
103,104,10.48
104,105,10.48
105,106,10.48
106,107,10.48
107,108,10.48
108,109,10.48
109,110,10.48
110,111,10.48
111,112,10.48
112,113,10.48
113,114,10.48
114,115,10.48
115,116,10.48
116,117,10.48
117,118,10.48
118,119,10.48
119,120,10.48
120,121,10.48
121,122,10.48
122,123,10.48
123,124,10.48
124,125,10.48
125,126,10.48
126,127,10.48
127,128,10.48
128,129,10.48
129,130,10.48
130,131,10.48
131,132,10.48
132,133,10.48
133,134,10.48
134,135,10.48
135,136,10.48
136,137,10.48
137,138,10.48
138,139,10.48
139,140,10.48
140,141,10.48
141,142,10.48
142,143,10.48
143,144,10.48
144,145,10.48
145,146,10.48
146,147,10.48
147,148,10.48
148,149,10.48
149,150,10.48
150,151,10.48
151,152,10.48
152,153,10.48
153,154,10.48
154,155,10.48
155,156,10.48
156,157,10.48
157,158,10.48
158,159,10.48
159,160,10.48
160,161,10.48
161,162,10.48
162,163,10.48
163,164,10.48
164,165,10.48
165,166,10.48
166,167,10.48
167,168,10.48
168,169,10.48
169,170,10.48
170,171,10.48
171,172,10.48
172,173,10.48
173,174,10.48
174,175,10.48
175,176,10.48
176,177,10.48
177,178,10.48
178,179,10.48
179,180,10.48
180,181,10.48
181,182,10.48
182,183,10.48
183,184,10.48
184,185,10.48
185,186,10.48
186,187,10.48
187,188,10.48
188,189,10.48
189,190,10.48
190,191,10.48
191,192,10.48
192,193,10.48
193,194,10.48
194,195,10.48
195,196,10.48
196,197,10.48
197,198,10.48
198,199,10.48
199,200,10.48
200,201,10.48
201,202,10.48
202,203,10.48
203,204,10.48
204,205,10.48
205,206,10.48
206,207,10.48
207,208,10.48
208,209,10.48
209,210,10.48
210,211,10.48
211,212,10.48
212,213,10.48
213,214,10.48
214,215,10.48
215,216,10.48
216,217,10.48
217,218,10.48
218,219,10.48
219,220,10.48
220,221,10.48
221,222,10.48
222,223,10.48
223,224,10.48
224,225,10.48
225,226,10.48
226,227,10.48
227,228,10.48
228,229,10.48
229,230,10.48
230,231,10.48
231,232,10.48
232,233,10.48
233,234,10.48
234,235,10.48
235,236,10.48
236,237,10.48
237,238,10.48
238,239,10.48
239,240,10.48
240,241,10.48
241,242,10.48
242,243,10.48
243,244,10.48
244,245,10.48
245,246,10.48
246,247,10.48
247,248,10.48
248,249,10.48
249,250,10.48
250,251,10.48
251,252,10.48
252,253,10.48
253,254,10.48
254,255,10.48
255,256,10.48
256,257,10.48
257,258,10.48
258,259,10.48
259,260,10.48
260,261,10.48
261,262,10.48
262,263,10.48
263,264,10.48
264,265,10.48
265,266,10.48
266,267,10.48
267,268,10.48
268,269,10.48
269,270,10.48
270,271,10.48
271,272,10.48
272,273,10.48
273,274,10.48
274,275,10.48
275,276,10.48
276,277,10.48
277,278,10.48
278,279,10.48
279,280,10.48
280,281,10.48
281,282,10.48
282,283,10.48
283,284,10.48
284,285,10.48
285,286,10.48
286,287,10.48
287,288,10.48
288,289,10.48
289,290,10.48
290,291,10.48
291,292,10.48
292,293,10.48
293,294,10.48
294,295,10.48
295,296,10.48
296,297,10.48
297,298,10.48
298,299,10.48
299,300,10.48
300,301,10.48
301,302,10.48
302,303,10.48
303,304,10.48
304,305,10.48
305,306,10.48
306,307,10.48
307,308,10.48
308,309,10.48
309,310,10.48
310,311,10.48
311,312,10.48
312,313,10.48
313,314,10.48
314,315,10.48
315,316,10.48
316,317,10.48
317,318,10.48
318,319,10.48
319,320,10.48
320,321,10.48
321,322,10.48
322,323,10.48
323,324,10.48
324,325,10.48
325,326,10.48
326,327,10.48
327,328,10.48
328,329,10.48
329,330,10.48
330,331,10.48
331,332,10.48
332,333,10.48
333,334,10.48
334,335,10.48
335,336,10.48
336,337,10.48
337,338,10.48
338,339,10.48
339,340,10.48
340,341,10.48
341,342,10.48
342,343,10.48
343,344,10.48
344,345,10.48
345,346,10.48
346,347,10.48
347,348,10.48
348,349,10.48
349,350,10.48
350,351,10.48
351,352,10.48
352,353,10.48
353,354,10.48
354,355,10.48
355,356,10.48
356,357,10.48
357,358,10.48
358,359,10.48
359,360,10.48
360,361,10.48
361,362,10.48
362,363,10.48
363,364,10.48
364,365,10.48
